State,Caste,Religion,Groom_Age,Bride_Age,Groom_Education_Yrs,Bride_Education_Yrs,Groom_Income_Monthly,Bride_Income_Monthly,Occupation,Marriage_Type,Area,Family_Type,Dowry_Amount_INR
Punjab,OBC,Christian,24,25,20,9,123717,69703,Govt Job,Arranged,Urban,Joint,2419564
Bihar,OBC,Muslim,28,23,20,9,129660,26311,Unemployed,Arranged,Rural,Joint,841171
Uttar Pradesh,OBC,Christian,25,28,10,16,142717,64545,Business,Arranged,Urban,Joint,2010767
Kerala,OBC,Hindu,22,19,20,14,146904,60645,Private Job,Love,Rural,Joint,868267
Tamil Nadu,General,Sikh,23,29,18,10,124269,36689,Private Job,Arranged,Urban,Nuclear,1614822
Tamil Nadu,ST,Sikh,24,19,14,18,130711,26946,Private Job,Arranged,Urban,Joint,862091
Kerala,OBC,Hindu,24,23,20,15,76342,23639,Unemployed,Love,Rural,Nuclear,282978
Punjab,General,Hindu,34,27,13,15,102085,68670,Business,Love,Urban,Nuclear,767071
Kerala,SC,Christian,32,24,20,19,72902,12912,Unemployed,Arranged,Rural,Nuclear,456603
Haryana,OBC,Hindu,29,22,11,20,100698,30208,Private Job,Arranged,Urban,Nuclear,1231230
Maharashtra,ST,Christian,22,25,14,16,111747,28999,Private Job,Arranged,Urban,Nuclear,715819
Tamil Nadu,ST,Christian,31,26,20,18,92881,40742,Private Job,Love,Urban,Joint,269909
Rajasthan,OBC,Sikh,26,30,19,8,83728,31777,Farmer,Arranged,Rural,Joint,865830
Haryana,OBC,Sikh,35,28,11,8,120482,50395,Unemployed,Arranged,Rural,Joint,962785
Rajasthan,SC,Hindu,26,28,20,18,91300,47410,Govt Job,Love,Rural,Joint,459847
Bihar,OBC,Muslim,33,21,10,18,18428,28577,Business,Love,Urban,Joint,90352
Maharashtra,SC,Hindu,21,21,12,20,146202,19828,Govt Job,Love,Urban,Joint,671704
Punjab,SC,Hindu,33,19,13,10,113838,46340,Unemployed,Love,Rural,Joint,242683
Uttar Pradesh,General,Muslim,32,23,19,15,13437,38183,Farmer,Arranged,Rural,Nuclear,134180
Gujarat,General,Christian,27,21,13,14,117024,28005,Private Job,Love,Rural,Joint,661380
Haryana,SC,Muslim,32,22,11,10,149067,20513,Private Job,Arranged,Rural,Nuclear,1537664
Maharashtra,General,Sikh,21,25,14,17,116605,41623,Govt Job,Arranged,Rural,Nuclear,2185645
Punjab,SC,Christian,24,22,13,11,96906,77188,Business,Love,Rural,Nuclear,530193
Punjab,General,Hindu,30,30,20,20,91697,15806,Govt Job,Love,Urban,Nuclear,839029
Kerala,SC,Muslim,26,26,15,18,81490,45707,Farmer,Love,Urban,Joint,265385
Bihar,OBC,Muslim,31,23,13,10,28782,66126,Business,Arranged,Urban,Joint,442166
Uttar Pradesh,SC,Sikh,27,18,17,17,21958,49054,Unemployed,Love,Urban,Nuclear,96344
Bihar,ST,Muslim,24,18,19,12,61372,58552,Unemployed,Arranged,Rural,Joint,304326
Rajasthan,General,Muslim,31,23,18,13,82476,61969,Farmer,Love,Urban,Nuclear,344026
Karnataka,ST,Muslim,21,26,17,9,17839,70847,Private Job,Love,Urban,Nuclear,34488
Kerala,General,Sikh,27,21,20,8,48010,73857,Govt Job,Love,Rural,Joint,465936
Punjab,ST,Christian,23,30,11,12,57989,65516,Govt Job,Love,Urban,Nuclear,341041
Tamil Nadu,ST,Hindu,35,23,14,19,148999,41864,Unemployed,Arranged,Rural,Joint,601837
Gujarat,General,Hindu,30,27,18,8,102635,48975,Govt Job,Arranged,Urban,Nuclear,1992099
Bihar,OBC,Christian,29,29,17,13,28866,22372,Unemployed,Arranged,Urban,Nuclear,135198
Rajasthan,General,Hindu,31,29,20,11,58553,31175,Farmer,Love,Rural,Joint,214217
Uttar Pradesh,SC,Sikh,34,18,13,13,42724,67059,Private Job,Arranged,Rural,Joint,403780
Uttar Pradesh,ST,Hindu,24,23,20,16,146566,49151,Govt Job,Arranged,Rural,Nuclear,1606755
Haryana,SC,Christian,27,26,13,16,14647,72430,Govt Job,Arranged,Urban,Nuclear,220498
Kerala,SC,Christian,23,26,15,9,76392,57198,Business,Arranged,Urban,Joint,1063134
Rajasthan,ST,Sikh,33,18,18,19,38960,23007,Govt Job,Love,Urban,Joint,181713
Kerala,OBC,Muslim,30,18,11,9,23913,47405,Business,Arranged,Rural,Nuclear,378091
Kerala,OBC,Christian,26,29,12,11,89518,16617,Govt Job,Arranged,Rural,Nuclear,1790526
Karnataka,SC,Muslim,22,21,15,12,100846,55219,Govt Job,Arranged,Urban,Joint,1362688
Punjab,SC,Sikh,23,22,13,20,46382,64243,Govt Job,Arranged,Urban,Nuclear,707853
Uttar Pradesh,SC,Hindu,30,19,18,8,124518,34770,Farmer,Arranged,Urban,Joint,1030794
Bihar,ST,Muslim,27,22,19,13,67521,45910,Private Job,Arranged,Rural,Joint,341659
Karnataka,OBC,Hindu,24,19,12,12,145343,27485,Govt Job,Love,Urban,Nuclear,1000358
Maharashtra,SC,Christian,32,20,10,13,67188,36963,Business,Love,Urban,Joint,301323
Karnataka,General,Sikh,25,18,16,12,11482,78646,Business,Arranged,Urban,Joint,179095
Karnataka,OBC,Muslim,27,28,10,19,56898,23126,Unemployed,Arranged,Urban,Nuclear,380114
Karnataka,OBC,Muslim,29,24,12,19,124442,45109,Govt Job,Arranged,Urban,Joint,1953914
Karnataka,SC,Sikh,22,25,11,8,136693,34040,Farmer,Arranged,Urban,Nuclear,1034717
Gujarat,General,Muslim,21,28,20,9,17003,66916,Private Job,Arranged,Rural,Nuclear,238894
Uttar Pradesh,ST,Muslim,24,20,11,9,16954,32067,Business,Love,Urban,Nuclear,135607
Uttar Pradesh,SC,Christian,26,29,19,13,41965,24663,Private Job,Love,Rural,Nuclear,116767
Kerala,General,Hindu,30,27,11,11,144336,16877,Farmer,Love,Urban,Nuclear,770166
Kerala,OBC,Christian,30,26,19,16,13000,66424,Farmer,Love,Rural,Joint,36688
Rajasthan,SC,Muslim,23,29,11,16,23490,49012,Business,Arranged,Urban,Joint,305334
Kerala,ST,Christian,32,20,17,8,109546,68275,Unemployed,Love,Rural,Joint,237282
Gujarat,OBC,Hindu,24,25,14,14,80653,55349,Farmer,Love,Urban,Nuclear,292897
Rajasthan,OBC,Hindu,33,23,19,14,62387,19535,Govt Job,Love,Urban,Nuclear,437417
Kerala,OBC,Hindu,33,18,20,8,48964,73887,Unemployed,Arranged,Rural,Nuclear,392648
Gujarat,General,Christian,34,19,17,15,126600,68982,Unemployed,Love,Rural,Nuclear,443424
Haryana,General,Sikh,25,23,12,10,123702,75444,Private Job,Love,Rural,Joint,736797
Kerala,OBC,Muslim,27,18,15,10,95520,67160,Business,Arranged,Rural,Joint,1622740
Uttar Pradesh,ST,Hindu,21,21,15,20,50704,39487,Private Job,Love,Urban,Nuclear,122365
Tamil Nadu,SC,Christian,25,27,16,10,88530,41847,Private Job,Love,Urban,Nuclear,227826
Rajasthan,OBC,Hindu,27,18,18,20,143103,35335,Govt Job,Arranged,Rural,Joint,2376005
Bihar,General,Christian,30,22,13,16,106372,21738,Business,Love,Urban,Nuclear,732127
Kerala,ST,Muslim,21,30,12,18,21230,28988,Govt Job,Arranged,Urban,Nuclear,267753
Maharashtra,OBC,Hindu,31,30,15,12,113099,63035,Unemployed,Love,Urban,Joint,286852
Kerala,General,Muslim,21,30,14,18,93642,40336,Unemployed,Love,Urban,Nuclear,279827
Tamil Nadu,OBC,Sikh,21,18,16,13,71504,48381,Farmer,Love,Urban,Joint,262123
Rajasthan,SC,Muslim,28,19,10,11,129771,26439,Private Job,Love,Rural,Joint,424085
Uttar Pradesh,OBC,Christian,30,21,12,8,133377,21930,Private Job,Love,Urban,Joint,546744
Karnataka,ST,Hindu,28,24,19,20,43964,62501,Farmer,Love,Rural,Nuclear,102724
Maharashtra,OBC,Muslim,28,21,14,19,126785,16666,Private Job,Arranged,Rural,Joint,1414837
Kerala,ST,Christian,27,22,14,12,29291,10891,Unemployed,Arranged,Rural,Joint,241935
Karnataka,General,Sikh,27,21,16,14,41374,42764,Private Job,Arranged,Rural,Joint,546590
Karnataka,OBC,Sikh,25,22,16,20,11678,30430,Govt Job,Love,Rural,Nuclear,89952
Karnataka,OBC,Hindu,24,24,11,16,149321,9790,Business,Arranged,Urban,Joint,2131568
Punjab,SC,Muslim,26,28,13,20,37438,25759,Unemployed,Love,Rural,Nuclear,-4290
Karnataka,SC,Christian,23,24,11,11,116563,54750,Govt Job,Arranged,Urban,Joint,1484852
Gujarat,ST,Sikh,27,28,13,16,44526,71361,Private Job,Love,Rural,Nuclear,127684
Punjab,ST,Muslim,30,25,19,20,79087,7894,Business,Arranged,Rural,Joint,986792
Tamil Nadu,ST,Sikh,22,29,11,8,54695,38443,Private Job,Arranged,Urban,Nuclear,373246
Bihar,OBC,Muslim,22,23,20,14,35306,4622,Govt Job,Arranged,Rural,Joint,597626
Punjab,ST,Hindu,30,21,10,10,50267,52397,Business,Arranged,Urban,Joint,547180
Tamil Nadu,ST,Christian,33,19,19,9,129881,55154,Farmer,Arranged,Rural,Nuclear,759816
Rajasthan,SC,Christian,25,24,18,18,77138,39426,Unemployed,Arranged,Rural,Joint,450544
Gujarat,General,Christian,22,25,13,13,75601,31383,Private Job,Love,Urban,Nuclear,430721
Bihar,ST,Christian,23,24,18,18,99143,25261,Business,Love,Urban,Joint,400432
Kerala,OBC,Hindu,31,21,16,12,25394,71468,Govt Job,Love,Urban,Nuclear,155651
Karnataka,SC,Sikh,29,20,17,18,118310,56393,Private Job,Love,Urban,Joint,472393
Punjab,SC,Hindu,30,23,13,18,125714,63807,Private Job,Arranged,Urban,Joint,1212190
Gujarat,SC,Christian,28,28,11,12,17134,14801,Govt Job,Love,Rural,Joint,116726
Rajasthan,OBC,Christian,34,29,20,20,140382,52971,Unemployed,Love,Rural,Joint,480131
Gujarat,SC,Hindu,31,19,20,17,85155,45780,Private Job,Love,Urban,Nuclear,240000
Gujarat,OBC,Hindu,31,27,11,19,26490,52099,Govt Job,Arranged,Urban,Joint,408770
Punjab,SC,Hindu,28,28,14,16,43749,35087,Govt Job,Love,Urban,Nuclear,272726
Tamil Nadu,ST,Christian,34,24,12,9,82373,44368,Unemployed,Love,Rural,Nuclear,113212
Haryana,SC,Hindu,27,29,11,14,11964,26089,Govt Job,Arranged,Urban,Joint,105516
Karnataka,ST,Christian,25,29,12,17,36717,73960,Business,Arranged,Rural,Nuclear,337552
Maharashtra,SC,Hindu,21,22,17,10,10502,50185,Unemployed,Love,Urban,Nuclear,-31691
Maharashtra,General,Christian,30,28,10,16,30436,72037,Farmer,Love,Urban,Joint,166120
Punjab,General,Hindu,30,19,19,18,63136,34175,Business,Love,Urban,Nuclear,466188
Karnataka,SC,Sikh,28,29,14,18,148404,34710,Govt Job,Arranged,Rural,Joint,1969647
Kerala,SC,Hindu,33,25,11,15,140520,66936,Govt Job,Love,Rural,Nuclear,820819
Karnataka,General,Sikh,26,25,18,18,51943,60984,Private Job,Arranged,Rural,Nuclear,659155
Uttar Pradesh,General,Hindu,24,27,13,13,94784,34059,Unemployed,Arranged,Rural,Nuclear,779991
Punjab,ST,Sikh,29,21,16,18,133691,49817,Unemployed,Arranged,Rural,Nuclear,612259
Kerala,ST,Christian,34,22,12,16,89185,20764,Govt Job,Arranged,Urban,Nuclear,1135103
Punjab,SC,Muslim,22,28,14,12,118114,8908,Unemployed,Arranged,Rural,Nuclear,788214
Rajasthan,SC,Muslim,28,18,18,8,26701,47551,Business,Love,Urban,Nuclear,37644
Uttar Pradesh,OBC,Muslim,29,27,19,10,39004,21871,Unemployed,Love,Urban,Joint,112202
Haryana,ST,Christian,21,22,15,18,32105,68900,Govt Job,Love,Rural,Joint,174803
Kerala,OBC,Sikh,28,19,14,13,113650,691,Unemployed,Love,Urban,Joint,399134
Kerala,General,Hindu,25,27,17,13,108647,39267,Farmer,Arranged,Rural,Nuclear,1463556
Maharashtra,OBC,Hindu,32,21,18,9,79158,39981,Private Job,Arranged,Rural,Joint,804715
Rajasthan,OBC,Muslim,27,29,16,16,48047,31224,Unemployed,Love,Rural,Joint,152941
Maharashtra,General,Sikh,26,28,11,16,104937,27189,Unemployed,Love,Urban,Joint,342252
Kerala,ST,Hindu,23,22,20,12,100363,23181,Private Job,Arranged,Rural,Nuclear,855573
Bihar,OBC,Sikh,31,21,12,17,70025,17476,Business,Love,Urban,Nuclear,417865
Tamil Nadu,General,Muslim,32,20,20,11,115609,38798,Govt Job,Love,Urban,Joint,867748
Rajasthan,ST,Sikh,21,19,13,12,141244,61961,Business,Arranged,Rural,Joint,1296933
Karnataka,General,Christian,22,26,18,8,114441,58453,Unemployed,Arranged,Urban,Nuclear,907293
Gujarat,OBC,Sikh,24,22,19,11,129043,40017,Govt Job,Arranged,Rural,Joint,2093491
Kerala,OBC,Hindu,34,22,20,15,55615,14722,Private Job,Arranged,Rural,Joint,827406
Karnataka,ST,Hindu,34,21,20,11,78175,61049,Private Job,Arranged,Urban,Nuclear,570916
Uttar Pradesh,SC,Christian,25,23,10,13,58810,57022,Govt Job,Love,Rural,Joint,240365
Haryana,SC,Muslim,34,27,10,13,76079,78671,Unemployed,Arranged,Rural,Joint,498431
Kerala,ST,Muslim,24,29,10,12,149136,32520,Private Job,Arranged,Rural,Joint,1204008
Gujarat,SC,Sikh,34,27,10,11,113328,45676,Private Job,Arranged,Rural,Joint,1002642
Haryana,ST,Hindu,34,23,11,16,70942,13446,Unemployed,Love,Rural,Nuclear,200948
Maharashtra,OBC,Christian,30,26,11,14,30766,45058,Unemployed,Arranged,Rural,Joint,162021
Rajasthan,OBC,Hindu,22,23,11,11,85176,27693,Govt Job,Arranged,Rural,Joint,1453572
Maharashtra,General,Christian,29,19,16,8,45613,13312,Unemployed,Arranged,Rural,Joint,376420
Bihar,SC,Christian,29,18,10,16,100741,5721,Private Job,Love,Urban,Joint,383622
Rajasthan,SC,Christian,34,20,18,14,114494,45436,Farmer,Arranged,Urban,Nuclear,970718
Punjab,General,Christian,33,24,15,13,56497,401,Farmer,Love,Urban,Joint,305017
Punjab,ST,Muslim,29,18,18,11,71791,28054,Unemployed,Arranged,Urban,Joint,324139
Karnataka,General,Muslim,31,26,20,17,100178,13832,Business,Arranged,Rural,Joint,1648532
Karnataka,General,Hindu,34,30,13,19,120410,7220,Farmer,Love,Urban,Nuclear,522728
Tamil Nadu,ST,Christian,28,23,10,13,102921,5309,Unemployed,Love,Rural,Nuclear,169052
Uttar Pradesh,General,Christian,28,29,11,16,66607,15064,Farmer,Arranged,Rural,Nuclear,796359
Haryana,ST,Sikh,30,25,20,14,109005,38744,Farmer,Arranged,Urban,Nuclear,837912
Bihar,OBC,Sikh,34,23,20,9,28696,77870,Unemployed,Arranged,Urban,Joint,230752
Gujarat,SC,Christian,31,30,19,10,48864,25966,Private Job,Arranged,Rural,Nuclear,415994
Gujarat,ST,Christian,25,30,16,17,140026,18415,Business,Love,Urban,Nuclear,582371
Punjab,General,Hindu,34,22,19,20,136512,57010,Business,Arranged,Rural,Nuclear,2755230
Haryana,OBC,Sikh,27,29,19,20,124547,72627,Farmer,Love,Urban,Nuclear,727855
Bihar,General,Hindu,22,18,15,20,19588,33289,Private Job,Love,Rural,Nuclear,133140
Uttar Pradesh,ST,Muslim,34,29,17,12,93194,51860,Farmer,Arranged,Rural,Nuclear,544264
Maharashtra,SC,Muslim,28,27,17,14,136307,23563,Farmer,Arranged,Rural,Joint,989203
Karnataka,SC,Christian,29,26,17,13,81643,24080,Unemployed,Arranged,Rural,Joint,440502
Tamil Nadu,SC,Muslim,34,19,13,11,46784,56650,Business,Love,Rural,Nuclear,195612
Kerala,General,Sikh,29,19,13,18,10260,67520,Govt Job,Arranged,Urban,Joint,275784
Punjab,SC,Hindu,35,21,11,10,65957,10328,Business,Love,Urban,Joint,373497
Tamil Nadu,General,Hindu,28,28,10,9,140788,77349,Business,Love,Urban,Joint,948085
Maharashtra,OBC,Christian,34,21,19,10,112918,49144,Private Job,Love,Urban,Nuclear,454499
Kerala,OBC,Sikh,21,21,17,18,63887,68935,Govt Job,Arranged,Urban,Joint,1189220
Haryana,ST,Sikh,33,23,12,12,17386,50078,Unemployed,Love,Rural,Joint,12724
Uttar Pradesh,OBC,Hindu,33,28,15,18,44236,220,Private Job,Arranged,Urban,Nuclear,529415
Punjab,General,Muslim,33,29,16,19,51874,56192,Private Job,Arranged,Urban,Joint,819939
Tamil Nadu,SC,Muslim,25,28,19,15,21417,13299,Farmer,Arranged,Rural,Nuclear,101553
Maharashtra,General,Muslim,32,30,11,19,35014,36859,Unemployed,Arranged,Rural,Nuclear,281768
Haryana,OBC,Muslim,32,18,19,11,58082,75400,Private Job,Arranged,Rural,Joint,785948
Karnataka,ST,Hindu,35,30,17,15,43718,39877,Farmer,Love,Urban,Joint,65976
Rajasthan,General,Hindu,33,19,10,20,80359,17367,Private Job,Arranged,Urban,Nuclear,1052353
Gujarat,SC,Sikh,23,19,10,10,31517,43463,Govt Job,Love,Urban,Joint,163647
Maharashtra,SC,Hindu,32,27,15,9,87994,45817,Farmer,Love,Urban,Nuclear,212113
Bihar,ST,Christian,34,27,10,17,143496,63669,Unemployed,Love,Urban,Nuclear,258962
Kerala,General,Sikh,26,29,18,8,112944,58560,Business,Arranged,Rural,Joint,2318543
Punjab,OBC,Christian,25,22,13,20,10940,5591,Private Job,Love,Urban,Joint,111915
Karnataka,OBC,Hindu,25,27,11,10,73897,67191,Private Job,Arranged,Urban,Nuclear,865557
Uttar Pradesh,OBC,Muslim,25,18,19,9,91983,30253,Govt Job,Love,Urban,Joint,538204
Haryana,OBC,Sikh,25,21,16,8,47157,69297,Unemployed,Arranged,Rural,Joint,326592
Gujarat,General,Muslim,31,29,19,10,22620,24164,Unemployed,Arranged,Urban,Joint,202187
Gujarat,OBC,Muslim,27,23,19,15,138771,14461,Business,Arranged,Urban,Nuclear,2010114
Karnataka,General,Muslim,22,19,10,16,38544,44619,Private Job,Love,Rural,Nuclear,226181
Tamil Nadu,SC,Muslim,31,28,16,9,108935,79049,Unemployed,Love,Urban,Joint,414863
Bihar,General,Sikh,24,18,19,17,63346,25232,Farmer,Love,Urban,Joint,325003
Bihar,General,Hindu,29,27,17,16,130818,8563,Private Job,Love,Rural,Nuclear,737031
Karnataka,SC,Christian,23,21,16,9,112821,28827,Private Job,Arranged,Rural,Nuclear,1006678
Rajasthan,OBC,Muslim,25,28,16,8,51067,77898,Private Job,Love,Rural,Nuclear,257264
Rajasthan,SC,Hindu,26,29,11,15,92006,76849,Private Job,Love,Rural,Nuclear,297056
Gujarat,SC,Hindu,29,27,13,19,75728,64949,Private Job,Love,Rural,Joint,295423
Punjab,General,Muslim,26,24,16,17,137975,67047,Private Job,Love,Urban,Joint,822322
Rajasthan,SC,Muslim,33,28,12,8,144905,3873,Unemployed,Love,Rural,Joint,283765
Punjab,SC,Sikh,24,24,10,8,31187,8787,Farmer,Love,Rural,Joint,90250
Karnataka,General,Hindu,22,30,10,19,80432,34749,Business,Arranged,Rural,Joint,1363394
Maharashtra,ST,Sikh,32,27,18,9,116910,19938,Unemployed,Love,Rural,Nuclear,312141
Uttar Pradesh,SC,Muslim,35,21,16,11,69229,18459,Private Job,Love,Urban,Nuclear,142015
Tamil Nadu,OBC,Sikh,22,18,18,20,120317,20377,Govt Job,Love,Urban,Nuclear,828405
Karnataka,General,Muslim,21,22,12,14,140246,19537,Farmer,Love,Urban,Joint,575715
Tamil Nadu,SC,Sikh,29,24,17,13,51969,69327,Business,Arranged,Rural,Nuclear,550660
Kerala,General,Hindu,35,25,13,13,98061,24138,Unemployed,Arranged,Urban,Nuclear,972298
Gujarat,General,Sikh,21,18,14,10,38248,45086,Business,Love,Urban,Nuclear,261770
Haryana,SC,Hindu,26,21,10,8,127793,38382,Unemployed,Love,Rural,Nuclear,258950
Kerala,ST,Hindu,26,22,10,11,125101,37705,Unemployed,Arranged,Rural,Joint,594743
Karnataka,SC,Sikh,30,20,14,13,14731,57692,Govt Job,Love,Urban,Joint,109107
Maharashtra,SC,Hindu,31,22,18,13,122622,40788,Private Job,Arranged,Rural,Joint,1005768
Uttar Pradesh,OBC,Christian,23,28,16,20,105528,740,Govt Job,Love,Urban,Nuclear,707307
Punjab,General,Muslim,27,25,11,13,68613,15218,Private Job,Love,Urban,Joint,430423
Punjab,General,Christian,33,22,14,14,60307,33346,Govt Job,Love,Rural,Joint,531893
Bihar,ST,Sikh,28,21,16,9,95945,48305,Business,Love,Rural,Joint,456437
Maharashtra,OBC,Christian,24,21,14,15,30470,47709,Private Job,Arranged,Rural,Nuclear,366865
Bihar,General,Christian,31,25,11,16,53831,29873,Business,Arranged,Urban,Joint,808486
Tamil Nadu,SC,Hindu,21,27,20,15,38168,63243,Govt Job,Arranged,Urban,Nuclear,495964
Gujarat,SC,Muslim,21,19,20,16,84197,75005,Farmer,Love,Urban,Joint,224553
Maharashtra,General,Christian,25,22,12,14,33334,34497,Business,Arranged,Urban,Nuclear,605966
Punjab,SC,Sikh,24,24,11,12,110936,22200,Farmer,Love,Rural,Nuclear,367730
Karnataka,ST,Sikh,32,26,19,20,35094,49880,Govt Job,Arranged,Urban,Nuclear,362750
Punjab,SC,Hindu,22,28,14,12,49018,75944,Govt Job,Arranged,Urban,Joint,775224
Punjab,ST,Sikh,30,24,18,12,101424,63002,Unemployed,Arranged,Urban,Joint,554464
Bihar,OBC,Sikh,22,19,12,18,47787,48317,Business,Love,Urban,Nuclear,213326
Punjab,ST,Christian,25,19,11,17,34666,72031,Unemployed,Arranged,Urban,Nuclear,157991
Maharashtra,SC,Hindu,35,21,17,12,75309,29238,Farmer,Arranged,Rural,Nuclear,552366
Maharashtra,OBC,Muslim,30,19,11,15,23888,39577,Private Job,Arranged,Urban,Nuclear,230101
Tamil Nadu,General,Hindu,29,19,20,8,111157,11258,Govt Job,Arranged,Rural,Joint,2255834
Gujarat,General,Sikh,30,28,12,14,66223,9169,Farmer,Love,Urban,Nuclear,330172
Uttar Pradesh,General,Sikh,26,23,12,20,57581,3107,Farmer,Arranged,Urban,Nuclear,610653
Rajasthan,ST,Sikh,34,24,10,14,107833,73575,Govt Job,Love,Urban,Nuclear,498791
Kerala,General,Christian,33,27,16,19,140939,2730,Govt Job,Love,Rural,Joint,1425296
Kerala,SC,Muslim,23,21,18,10,41895,48153,Govt Job,Love,Urban,Nuclear,308020
Bihar,SC,Sikh,28,19,12,13,80087,64383,Private Job,Arranged,Urban,Nuclear,604771
Tamil Nadu,OBC,Hindu,23,27,19,17,76852,4908,Private Job,Arranged,Rural,Nuclear,821160
Haryana,OBC,Sikh,30,26,19,14,116492,2426,Business,Love,Rural,Joint,862946
Uttar Pradesh,ST,Hindu,31,24,18,18,17910,12265,Private Job,Love,Rural,Joint,14764
Bihar,General,Hindu,28,30,10,15,131058,68447,Unemployed,Arranged,Rural,Nuclear,1044443
Karnataka,ST,Christian,34,30,12,16,77603,28990,Business,Love,Urban,Joint,321206
Punjab,ST,Christian,27,27,18,13,54656,26116,Business,Love,Urban,Nuclear,192390
Haryana,OBC,Hindu,27,27,19,9,58812,5892,Farmer,Arranged,Rural,Joint,695710
Punjab,ST,Sikh,24,23,14,15,140360,19595,Private Job,Arranged,Urban,Joint,1016960
Gujarat,OBC,Hindu,21,21,14,11,63920,4446,Farmer,Arranged,Urban,Nuclear,581588
Tamil Nadu,SC,Hindu,34,26,20,9,116489,7211,Govt Job,Love,Rural,Joint,581465
Kerala,General,Christian,27,29,18,20,21322,23494,Unemployed,Love,Urban,Joint,17440
Haryana,ST,Muslim,29,20,19,12,79492,28260,Business,Arranged,Rural,Nuclear,949673
Maharashtra,ST,Muslim,22,23,10,18,66166,19510,Unemployed,Arranged,Rural,Joint,206390
Karnataka,OBC,Christian,33,25,18,8,96369,67121,Farmer,Love,Rural,Joint,359619
Karnataka,SC,Muslim,30,23,13,20,68739,43725,Private Job,Love,Rural,Nuclear,240249
Kerala,SC,Hindu,21,27,14,16,138226,28880,Private Job,Love,Rural,Nuclear,636025
Haryana,SC,Hindu,22,18,10,8,129296,19680,Business,Love,Urban,Joint,613992
Kerala,General,Christian,27,22,14,11,126409,13211,Farmer,Arranged,Urban,Joint,1832940
Bihar,General,Christian,35,21,17,10,125048,64647,Govt Job,Arranged,Urban,Joint,2438947
Haryana,OBC,Sikh,32,30,12,9,100065,2207,Business,Arranged,Rural,Nuclear,1668039
Haryana,OBC,Hindu,30,24,20,16,147023,45378,Unemployed,Love,Urban,Joint,488874
Kerala,ST,Christian,26,24,18,13,61950,61616,Unemployed,Arranged,Rural,Nuclear,322180
Bihar,SC,Christian,31,30,18,13,117395,58196,Private Job,Arranged,Urban,Joint,967846
Haryana,OBC,Christian,24,19,10,17,90833,6029,Private Job,Love,Rural,Nuclear,483088
